genre,tmdbId,title,vi,Ri,WR_g,m_g,C_g
(No Genre),278,The Shawshank Redemption,311,4.487138263665595,4.439113094703229,13.0,3.2902032833727834
(No Genre),238,The Godfather,200,4.4875,4.414425552506319,13.0,3.2902032833727834
(No Genre),629,The Usual Suspects,201,4.370646766169155,4.305012348989936,13.0,3.2902032833727834
(No Genre),240,The Godfather: Part II,135,4.385185185185185,4.28900434245842,13.0,3.2902032833727834
(No Genre),424,Schindler's List,244,4.30327868852459,4.252033629120024,13.0,3.2902032833727834
(No Genre),680,Pulp Fiction,324,4.256172839506172,4.218909918943163,13.0,3.2902032833727834
(No Genre),275,Fargo,224,4.256696428571429,4.203682036640701,13.0,3.2902032833727834
(No Genre),963,The Maltese Falcon,62,4.387096774193548,4.196968569117949,13.0,3.2902032833727834
(No Genre),567,Rear Window,92,4.315217391304348,4.188310882703297,13.0,3.2902032833727834
(No Genre),488,The African Queen,50,4.42,4.186867344188034,13.0,3.2902032833727834
(No Genre),14,American Beauty,220,4.236363636363636,4.1835735737504125,13.0,3.2902032833727834
(No Genre),1891,The Empire Strikes Back,234,4.232905982905983,4.183290051351604,13.0,3.2902032833727834
(No Genre),829,Chinatown,76,4.3355263157894735,4.182838681840968,13.0,3.2902032833727834
(No Genre),11,Star Wars,291,4.221649484536083,4.181817903565284,13.0,3.2902032833727834
(No Genre),510,One Flew Over the Cuckoo's Nest,144,4.256944444444445,4.176895813272906,13.0,3.2902032833727834
(No Genre),389,12 Angry Men,74,4.304054054054054,4.152559111308577,13.0,3.2902032833727834
(No Genre),762,Monty Python and the Holy Grail,145,4.224137931034483,4.147295206859786,13.0,3.2902032833727834
(No Genre),155,The Dark Knight,121,4.235537190082645,4.143825691670495,13.0,3.2902032833727834
(No Genre),77,Memento,132,4.2272727272727275,4.143259604716182,13.0,3.2902032833727834
(No Genre),85,Raiders of the Lost Ark,220,4.193181818181818,4.1428010415615715,13.0,3.2902032833727834
(No Genre),213,North by Northwest,87,4.2701149425287355,4.142726426838462,13.0,3.2902032833727834
(No Genre),705,All About Eve,38,4.434210526315789,4.14260083693816,13.0,3.2902032833727834
(No Genre),2493,The Princess Bride,163,4.208588957055214,4.140753651612762,13.0,3.2902032833727834
(No Genre),603,The Matrix,259,4.183397683397684,4.140708245161199,13.0,3.2902032833727834
(No Genre),289,Casablanca,117,4.235042735042735,4.14055878987574,13.0,3.2902032833727834
