country_name,id
United States of America,21140
United Kingdom,4091
France,3932
Germany,2249
Italy,2166
Canada,1765
Japan,1645
Spain,964
Russia,912
India,827
Hong Kong,596
Sweden,586
Australia,570
South Korea,494
Belgium,446
Denmark,384
Finland,381
Netherlands,375
China,372
Mexico,328
Poland,318
Brazil,291
Switzerland,254
Argentina,254
Ireland,225
Czech Republic,209
Austria,209
Norway,201
Hungary,175
Greece,169
Turkey,165
Israel,146
Romania,142
Taiwan,129
Portugal,128
South Africa,125
New Zealand,123
Thailand,115
Serbia,106
Iran,105
Luxembourg,89
Philippines,83
Croatia,78
Chile,68
Iceland,68
Estonia,59
Bulgaria,56
Ukraine,55
Singapore,41
Lithuania,36
Bosnia and Herzegovina,35
Colombia,34
Morocco,33
Indonesia,33
Slovenia,32
Slovakia,30
Georgia,30
Peru,30
Latvia,29
United Arab Emirates,27
Cuba,25
Egypt,25
Kazakhstan,23
Soviet Union,20
Venezuela,19
Uruguay,18
Pakistan,18
Tunisia,17
Macedonia,15
Lebanon,15
Senegal,14
Algeria,13
Puerto Rico,13
Qatar,13
Malaysia,12
Palestinian Territory,11
Burkina Faso,10
Ecuador,10
Vietnam,10
Bolivia,10
Malta,9
Cambodia,9
Belarus,9
Jordan,9
Armenia,8
Dominican Republic,8
Iraq,8
Liechtenstein,8
Afghanistan,8
Montenegro,7
Cyprus,7
Panama,7
Nigeria,6
Costa Rica,6
Aruba,6
Guatemala,6
Kyrgyz Republic,6
East Germany,6
Uzbekistan,6
Nepal,6
Ethiopia,5
Bahamas,5
Mauritania,5
Syrian Arab Republic,5
Cameroon,5
Albania,5
Chad,4
Bhutan,4
Yugoslavia,4
Congo,4
Jamaica,4
Czechoslovakia,4
Rwanda,4
Ghana,4
Monaco,4
Zimbabwe,3
North Korea,3
Nicaragua,3
Mongolia,3
Botswana,3
Angola,3
Tajikistan,3
Sri Lanka,3
Serbia and Montenegro,3
El Salvador,3
Kenya,3
Liberia,3
Libyan Arab Jamahiriya,3
Lao People's Democratic Republic,3
Namibia,3
Paraguay,3
Cote D'Ivoire,2
Uganda,2
Azerbaijan,2
Bangladesh,2
Mali,2
Tanzania,2
Trinidad and Tobago,2
Papua New Guinea,2
Saudi Arabia,2
Macao,2
Antarctica,1
Bermuda,1
Barbados,1
Cayman Islands,1
Brunei Darussalam,1
Moldova,1
Kuwait,1
French Southern Territories,1
Gibraltar,1
Guinea,1
Honduras,1
French Polynesia,1
Martinique,1
Madagascar,1
Myanmar,1
Samoa,1
Netherlands Antilles,1
Somalia,1
United States Minor Outlying Islands,1
